id,starting_pos,player_a,player_b,time_a,time_b,result
2501,4795,Whisper,Ascendant,60000,60000,-1
2502,4099,Ascendant,Whisper,60000,60000,1
2503,4799,Whisper,Ascendant,60000,60000,-1
2504,4224,Ascendant,Whisper,60000,60000,-1
2505,4820,Whisper,Ascendant,60000,60000,1
2506,4481,Ascendant,Whisper,60000,60000,1
2507,4824,Whisper,Ascendant,60000,60000,1
2508,4483,Ascendant,Whisper,60000,60000,1
2509,4845,Whisper,Ascendant,60000,60000,1
2510,4486,Ascendant,Whisper,60000,60000,-1
2511,4849,Whisper,Ascendant,60000,60000,1
2512,4487,Ascendant,Whisper,60000,60000,-1
2513,5106,Whisper,Ascendant,60000,60000,1
2514,4488,Ascendant,Whisper,60000,60000,1
2515,5107,Whisper,Ascendant,60000,60000,1
2516,4491,Ascendant,Whisper,60000,60000,1
2517,5111,Whisper,Ascendant,60000,60000,1
2518,4492,Ascendant,Whisper,60000,60000,1
2519,5112,Whisper,Ascendant,60000,60000,1
2520,4493,Ascendant,Whisper,60000,60000,1
2521,5113,Whisper,Ascendant,60000,60000,1
2522,4545,Ascendant,Whisper,60000,60000,1
2523,5116,Whisper,Ascendant,60000,60000,-1
2524,4549,Ascendant,Whisper,60000,60000,-1
2525,5117,Whisper,Ascendant,60000,60000,1
2526,4595,Ascendant,Whisper,60000,60000,-1
2527,5118,Whisper,Ascendant,60000,60000,1
2528,4599,Ascendant,Whisper,60000,60000,1
2529,5170,Whisper,Ascendant,60000,60000,1
2530,4670,Ascendant,Whisper,60000,60000,1
2531,5174,Whisper,Ascendant,60000,60000,1
2532,4674,Ascendant,Whisper,60000,60000,1
2533,5195,Whisper,Ascendant,60000,60000,-1
2534,4695,Ascendant,Whisper,60000,60000,-1
2535,5199,Whisper,Ascendant,60000,60000,-1
2536,4699,Ascendant,Whisper,60000,60000,1
2537,5295,Whisper,Ascendant,60000,60000,1
2538,4720,Ascendant,Whisper,60000,60000,1
2539,5299,Whisper,Ascendant,60000,60000,1
2540,4724,Ascendant,Whisper,60000,60000,-1
